Vinho;Provador;Fruto_citrino;Fruto_arvore;Fruto_tropical;Fruto_seco;Floral;Vegetal_fresco;Vegetal_seco;Melado;Mineral;Gas_carbonico;Docura;Acidez;Calor;Amargor;Adstrigencia;Estrutura;Equilibrio;Persistencia;Limpidez;Cor;Intensidade;Qualidade_cor;Evolucao
A;1;3;0;0;0;3;0;0;0;0;0;3;3;3;1;1;3;3;3;limpido;citrino;media;3;lig_evoluido
A;1;3;3;0;0;3;0;0;0;0;0;2;3;2;3;1;3;3;0;limpido;citrino;media;3;lig_evoluido
A;1;3;0;3;0;3;0;0;0;0;0;3;2;3;2;0;3;3;3;limpido;citrino;media;3;lig_evoluido
A;2;1;1;1;2;0;0;0;0;0;2;3;3;3;3;0;3;3;3;limpido;palha;media;2;evoluido
A;2;1;1;1;2;0;0;0;0;0;3;3;3;3;3;0;3;3;3;limpido;palha;media;2;
A;2;1;1;1;2;0;0;0;0;0;3;3;3;3;3;0;3;3;3;limpido;palha;media;2;
A;3;1;1;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;limpido;palha;forte;3;lig_evoluido
A;3;1;1;0;2;0;0;2;0;0;1;1;1;3;2;0;0;0;0;limpido;palha;forte;3;lig_evoluido
A;3;1;1;0;1;0;0;1;0;0;1;1;1;3;2;0;0;0;0;limpido;palha;forte;3;lig_evoluido
A;4;0;3;3;0;0;0;0;0;0;0;1;1;1;0;0;1;1;2;limpido;citrino;;;lig_evoluido
A;4;3;0;0;0;0;0;0;0;0;0;2;2;3;1;0;3;3;2;limpido;citrino;;;lig_evoluido
A;4;3;0;0;0;0;0;0;1;0;0;2;1;2;0;0;2;2;2;;;;;lig_evoluido
A;5;0;2;0;0;0;2;2;4;0;0;1;3;3;0;0;3;3;3;cristalino;citrino;forte;3;evoluido
A;5;3;2;0;0;0;3;0;1;0;0;1;3;3;0;0;3;3;3;cristalino;citrino;media;3;lig_evoluido
A;5;2;2;0;0;0;3;2;0;0;0;1;3;3;0;0;3;3;3;cristalino;citrino;media;3;lig_evoluido
A;6;0;0;0;0;0;0;2;4;0;2;1;3;3;2;0;3;3;3;limpido;palha;media;3;evoluido
A;6;0;0;0;0;0;0;1;1;0;0;1;3;3;1;0;3;3;2;limpido;citrino;media;3;lig_evoluido
